"Date","Android","iOS","Samsung","Windows","Nokia Unknown","Unknown","Series 40","Other"
2020-01,82.14,17.15,0.37,0.15,0.11,0.02,0.02,0.05
2020-02,81.87,17.54,0.3,0.14,0.08,0.02,0.01,0.03
2020-03,82.39,17.09,0.35,0.11,0,0.01,0,0.03
2020-04,81.46,17.96,0.39,0.08,0.06,0.02,0.01,0.02
2020-05,81.87,17.63,0.34,0.05,0.06,0.02,0.01,0.02
2020-06,81.82,17.69,0.37,0.04,0.05,0.01,0.01,0.02
2020-07,82.16,17.28,0.38,0.04,0.09,0.01,0.02,0.02
2020-08,81.53,17.99,0.31,0.04,0.07,0.01,0.01,0.02
2020-09,80.79,18.78,0.31,0.04,0.05,0.01,0.01,0.02
2020-10,79.82,19.76,0.32,0.03,0.04,0.01,0.01,0.01
2020-11,80.08,19.46,0.35,0.03,0.04,0.01,0.02,0.01
2020-12,80.03,19.53,0.35,0.02,0.03,0.01,0.01,0.01
