"Date","Android","iOS","Windows","Samsung","Unknown","BlackBerry OS","Nokia Unknown","SymbianOS","Series 40","Linux","Other"
2020-01,76.71,22.7,0.27,0.12,0.06,0.03,0.03,0.03,0.03,0.02,0.01
2020-02,73.02,26.4,0.3,0.14,0.04,0.02,0.02,0.02,0.02,0.02,0.03
2020-03,73.97,25.52,0.28,0.12,0.03,0.02,0,0.01,0,0.01,0.03
2020-04,80.33,19.3,0.15,0.08,0.03,0.03,0.02,0.01,0.01,0.01,0.01
2020-05,75.48,24.18,0.1,0.1,0.04,0.03,0.01,0.02,0.01,0.01,0.02
2020-06,78.6,21.02,0.18,0.09,0.04,0.02,0.01,0.01,0.01,0.01,0.01
2020-07,75.25,24.31,0.2,0.12,0.03,0.01,0.03,0.01,0.01,0.01,0.01
2020-08,74.24,25.38,0.13,0.14,0.04,0.01,0.02,0.01,0.01,0.01,0.01
2020-09,74.5,25.07,0.19,0.13,0.03,0.02,0.01,0.03,0.01,0.01,0.01
2020-10,71.26,27.78,0.61,0.21,0.02,0.05,0.01,0.01,0.01,0.02,0.03
2020-11,72.67,26.84,0.25,0.16,0.02,0.02,0.01,0,0.01,0.01,0.01
2020-12,73.92,25.83,0.07,0.13,0.02,0,0.01,0.01,0.01,0,0.01
