"Date","Android","iOS","Unknown","KaiOS","Linux","Samsung","BlackBerry OS","Windows","Series 40","Nokia Unknown","SymbianOS","Other"
2020-01,82.71,6.84,8.68,0.58,0.56,0.04,0.09,0.21,0.14,0.08,0.04,0.02
2020-02,81.8,9.3,7.39,0.58,0.4,0.04,0.13,0.19,0.1,0.04,0.02,0.01
2020-03,87.26,9.68,1.84,0.6,0.12,0.03,0.18,0.23,0.03,0.01,0,0.01
2020-04,86.39,7.47,5.22,0.46,0.13,0.02,0.07,0.1,0.07,0.04,0,0.01
2020-05,85.76,7.34,6.07,0.4,0.14,0.03,0.11,0.06,0.05,0.03,0,0.01
2020-06,86.11,7.98,4.87,0.35,0.24,0.25,0.07,0.03,0.05,0.05,0,0.01
2020-07,85.19,7.64,5.9,0.31,0.35,0.38,0.06,0.05,0.05,0.05,0.01,0.01
2020-08,84.92,7.87,6.19,0.32,0.23,0.23,0.07,0.03,0.06,0.04,0.01,0.02
2020-09,83.58,8.77,6.69,0.34,0.23,0.22,0.04,0.02,0.04,0.04,0.02,0.01
2020-10,83.66,8.93,6.39,0.36,0.26,0.21,0.07,0.03,0.05,0.02,0.01,0.01
2020-11,80.58,11.04,7.34,0.35,0.22,0.35,0.05,0.02,0.03,0.02,0,0.01
2020-12,79.04,13.41,6.81,0.31,0.19,0.12,0.05,0.01,0.01,0.01,0,0.01
