"Date","Android","iOS","Samsung","BlackBerry OS","Windows","Other"
2020-01,72.02,27.02,0.05,0.88,0.02,0
2020-02,75.03,24.7,0.27,0,0,0
2020-03,71.81,28.08,0.08,0.01,0.02,0
2020-04,79.13,20.09,0.71,0.03,0.02,0.01
2020-05,77.05,22.82,0.05,0.01,0.05,0.02
2020-06,73.85,26.09,0.04,0,0.01,0.01
2020-07,79.79,20.13,0.08,0,0,0
2020-08,80.1,19.79,0.09,0,0.01,0.01
2020-09,82.12,17.82,0.05,0,0,0.01
2020-10,78.69,21.16,0.06,0,0.01,0.07
2020-11,78.34,21.36,0.24,0.01,0.05,0
2020-12,76.53,23.35,0.07,0.01,0.04,0
