"Date","Android","iOS","Samsung","Windows","Playstation","BlackBerry OS","Other"
2020-01,85.67,14.07,0.06,0.16,0,0.01,0.02
2020-02,85.55,14.15,0.08,0.15,0.01,0.01,0.05
2020-03,85.23,14.42,0.26,0.09,0,0,0
2020-04,85.29,14.51,0.09,0.07,0.02,0.01,0.01
2020-05,86.54,13.31,0.09,0.01,0.02,0.03,0
2020-06,85.79,14.12,0.07,0.01,0,0.01,0.01
2020-07,85.86,13.95,0.13,0.02,0,0.04,0
2020-08,85.67,14.19,0.09,0.01,0.03,0.01,0
2020-09,83.92,15.93,0.11,0.02,0,0.01,0
2020-10,84.15,15.71,0.11,0.01,0,0.01,0
2020-11,83.75,16,0.11,0,0.11,0.03,0
2020-12,82.9,16.84,0.19,0.01,0.01,0.02,0.04
