"Date","Android","iOS","Windows","Samsung","Linux","BlackBerry OS","Other"
2020-01,85.74,13.24,0.76,0.12,0.12,0.03,0
2020-02,86.8,12.51,0.49,0.07,0.08,0.01,0.03
2020-03,86.07,13.14,0.67,0.09,0.01,0.01,0.02
2020-04,82.84,16.87,0.16,0.12,0,0.01,0
2020-05,84.25,15.58,0.07,0.07,0,0.02,0.01
2020-06,86.22,13.63,0.04,0.07,0,0.01,0.02
2020-07,85.35,14.46,0.03,0.1,0,0.02,0.04
2020-08,86.47,13.31,0,0.17,0,0,0.04
2020-09,86.42,13.47,0.03,0.08,0,0,0
2020-10,87.62,12.09,0.02,0.25,0.01,0,0
2020-11,84.23,14.65,0.18,0.82,0.01,0.1,0.01
2020-12,83.68,15.47,0.2,0.57,0,0.07,0.01
