"Date","Android","iOS","Windows","Linux","Unknown","Samsung","Playstation","Nokia Unknown","Series 40","Firefox OS","Other"
2020-01,89.07,10.34,0.16,0.1,0.06,0.06,0,0.17,0.02,0,0.01
2020-02,83.28,16.17,0.32,0.09,0.01,0.06,0.01,0.04,0,0,0.02
2020-03,84.77,14.17,0.31,0,0.1,0.58,0.07,0,0,0,0
2020-04,88.58,10.98,0.13,0.02,0.05,0.01,0.2,0,0.01,0,0.01
2020-05,88.75,10.35,0.14,0.09,0.14,0.27,0,0.04,0.06,0.13,0.01
2020-06,92.49,7.04,0.26,0.01,0.14,0.01,0,0,0.02,0,0.02
2020-07,88.19,11.14,0.03,0.28,0.24,0.08,0,0.04,0,0,0
2020-08,89.27,8.12,1.48,0.84,0.14,0.02,0,0.01,0.06,0,0.05
2020-09,89.15,9.71,0.19,0.3,0.1,0.02,0.48,0,0,0.05,0
2020-10,63.11,36.46,0.07,0.16,0.15,0.01,0.01,0,0.03,0,0
2020-11,76.29,22.9,0.07,0.45,0.14,0,0,0.04,0.1,0,0.01
2020-12,51.14,48.41,0.01,0.34,0.03,0,0.03,0.03,0,0,0
