"Date","Android","iOS","Windows","Samsung","Unknown","BlackBerry OS","Firefox OS","Tizen","Other"
2020-01,88.55,9.74,0.54,0.24,0.71,0.04,0.03,0,0.14
2020-02,87.95,10.9,0.55,0.14,0.32,0.04,0.02,0,0.08
2020-03,88.52,10.87,0.45,0.05,0.01,0.03,0.03,0.01,0.03
2020-04,86.92,12.67,0.23,0.05,0.03,0.03,0.03,0.01,0.02
2020-05,87.01,12.7,0.09,0.06,0.04,0.03,0.04,0.01,0.02
2020-06,87.2,12.52,0.08,0.08,0.04,0.03,0.04,0.01,0.02
2020-07,86.63,13.06,0.09,0.08,0.06,0.03,0.02,0.01,0.02
2020-08,86.16,13.6,0.05,0.08,0.05,0.02,0.01,0.01,0.02
2020-09,84.82,14.86,0.07,0.11,0.07,0.03,0.02,0.01,0.02
2020-10,85.6,14.06,0.09,0.09,0.08,0.03,0.03,0.01,0.02
2020-11,84.99,14.69,0.07,0.09,0.09,0.02,0.02,0.01,0.02
2020-12,85.57,14.12,0.04,0.12,0.07,0.02,0.02,0.02,0.02
