"Date","Android","iOS","Windows","Samsung","Nokia Unknown","Series 40","BlackBerry OS","Other"
2020-01,89.29,9.82,0.48,0.15,0.09,0.07,0.04,0.06
2020-02,89.92,9.38,0.42,0.12,0.05,0.04,0.03,0.04
2020-03,90.83,8.67,0.35,0.09,0,0,0.02,0.02
2020-04,90.52,9.02,0.3,0.07,0.02,0.02,0.03,0.02
2020-05,89.87,9.78,0.17,0.06,0.04,0.03,0.03,0.02
2020-06,89.66,9.97,0.18,0.07,0.05,0.03,0.02,0.02
2020-07,89.82,9.81,0.15,0.1,0.05,0.03,0.02,0.02
2020-08,89.54,10.07,0.16,0.13,0.04,0.03,0.02,0.02
2020-09,88.89,10.76,0.16,0.09,0.05,0.03,0.02,0.02
2020-10,89.03,10.64,0.13,0.08,0.04,0.03,0.02,0.02
2020-11,87.31,12.4,0.11,0.09,0.03,0.03,0.03,0.01
2020-12,87.48,12.19,0.1,0.14,0.03,0.02,0.02,0.02
