"Date","Android","iOS","Windows","Unknown","BlackBerry OS","SymbianOS","Samsung","Linux","Nokia Unknown","Other"
2020-01,87.02,12.72,0.18,0.02,0,0,0.03,0,0.01,0.01
2020-02,85.97,13.87,0.1,0.01,0,0,0.03,0,0.01,0
2020-03,84.49,15.14,0.3,0,0,0,0.01,0,0,0.05
2020-04,85.18,13.18,0.16,0.45,0.45,0.25,0.11,0.16,0,0.06
2020-05,88.47,10.19,0.23,0.42,0.36,0.12,0.01,0.11,0.02,0.06
2020-06,88.63,10.81,0.1,0.08,0.13,0.13,0.04,0.06,0.02,0.01
2020-07,90.02,9.85,0.07,0,0.01,0,0.01,0.01,0.01,0.01
2020-08,87.27,12.62,0.02,0.01,0,0,0.04,0,0.03,0
2020-09,87.5,12.31,0.07,0.08,0,0,0,0,0.01,0.01
2020-10,87.64,12.28,0,0.04,0,0,0.02,0,0,0.02
2020-11,88.51,11.38,0.02,0,0,0,0.05,0.01,0.02,0.02
2020-12,85.97,13.9,0,0,0,0,0.08,0,0.01,0.02
