"Date","Android","Unknown","iOS","Linux","Series 40","Windows","Nokia Unknown","BlackBerry OS","Samsung","SymbianOS","Other"
2020-01,72.08,19.32,4.16,3.27,0.49,0.29,0.09,0.07,0.13,0.07,0.01
2020-02,77.85,13.35,4.78,3.11,0.34,0.38,0.06,0.03,0.02,0.05,0.02
2020-03,87.37,1.35,7.74,2.85,0.04,0.58,0.01,0.05,0,0,0.01
2020-04,87.25,4.84,6.29,1.24,0.1,0.2,0.01,0.03,0.01,0.01,0.02
2020-05,85.61,6.22,6.44,1.25,0.15,0.14,0.04,0.06,0.02,0.03,0.04
2020-06,82.65,8.64,6.22,1.92,0.22,0.1,0.08,0.05,0.03,0.05,0.04
2020-07,79.08,12.63,5.88,1.93,0.2,0.09,0.06,0.05,0.02,0.04,0.04
2020-08,80.56,9.76,6.94,2.34,0.14,0.07,0.06,0.03,0.07,0.01,0.02
2020-09,80.05,10.3,6.9,2.41,0.1,0.11,0.03,0.03,0.02,0.02,0.02
2020-10,79.94,10.91,6.15,2.51,0.19,0.12,0.03,0.04,0.03,0.02,0.05
2020-11,78.78,11.53,6.1,2.49,0.79,0.17,0.04,0.04,0.04,0.01,0.02
2020-12,79.92,12.15,6.38,1.1,0.17,0.13,0.06,0.02,0.04,0.01,0.01
