"Date","Android","iOS","Samsung","Unknown","BlackBerry OS","Windows","Other"
2020-01,65.6,33.75,0.47,0.13,0.02,0.01,0.03
2020-02,65.82,33.46,0.55,0.1,0.02,0.02,0.03
2020-03,65.22,34.04,0.55,0.09,0.04,0.02,0.05
2020-04,65.57,33.51,0.75,0.09,0.03,0.02,0.04
2020-05,65.7,33.24,0.91,0.07,0.03,0.01,0.03
2020-06,65.15,33.91,0.86,0.04,0.01,0.01,0.02
2020-07,64.65,34.43,0.86,0.03,0,0.02,0.01
2020-08,63.8,35.19,0.95,0.04,0,0.01,0.01
2020-09,64.42,34.6,0.94,0.03,0,0.01,0
2020-10,63.77,35.22,0.97,0.03,0.01,0,0
2020-11,62.65,36.31,0.99,0.03,0,0.01,0
2020-12,62.77,36.29,0.9,0.03,0,0,0
