"Date","Android","iOS","Samsung","Windows","Unknown","BlackBerry OS","SymbianOS","Nokia Unknown","Other"
2020-01,79.83,18.61,1.08,0.14,0.1,0.08,0.08,0.02,0.06
2020-02,79.82,19.02,0.82,0.14,0.05,0.04,0.03,0.02,0.04
2020-03,78.34,20.59,0.83,0.12,0.04,0.03,0.02,0,0.04
2020-04,77.93,21.33,0.62,0.09,0,0.01,0,0,0.01
2020-05,79.95,19.51,0.46,0.05,0.01,0.01,0,0.01,0.01
2020-06,81.15,18.22,0.53,0.04,0.01,0.02,0,0.01,0.01
2020-07,81.25,18.13,0.53,0.05,0.01,0.01,0,0.01,0.01
2020-08,80.71,18.61,0.56,0.07,0.01,0.01,0,0.01,0.01
2020-09,80.31,19.01,0.59,0.04,0.01,0.01,0,0.01,0.01
2020-10,77.98,21.25,0.69,0.02,0.01,0.01,0.01,0.01,0.01
2020-11,78.56,20.68,0.68,0.04,0.01,0.01,0,0.01,0.01
2020-12,78.27,20.77,0.89,0.03,0.01,0.01,0,0.01,0.01
