"Date","Android","iOS","Unknown","Linux","Windows","Series 40","Nokia Unknown","Samsung","Other"
2020-01,92.62,6.17,0.66,0.17,0.17,0.13,0.03,0.02,0.02
2020-02,92.26,7.04,0.16,0.09,0.21,0.2,0.03,0,0.01
2020-03,94.28,5.46,0.09,0.03,0.13,0.01,0,0.01,0.01
2020-04,93.6,5.15,0.68,0.26,0.1,0.12,0.05,0.03,0
2020-05,91.72,7.09,0.34,0.44,0.04,0.15,0.2,0,0.02
2020-06,91.98,7.58,0.1,0.16,0.08,0.05,0,0.02,0.02
2020-07,93.44,6.19,0.11,0.07,0.04,0.1,0.01,0.04,0
2020-08,92.17,7.52,0.11,0.11,0.02,0.03,0,0.03,0
2020-09,90.79,8.86,0.13,0.11,0.06,0.04,0,0.01,0
2020-10,87.32,12.27,0.13,0.14,0.03,0.07,0.01,0.01,0.01
2020-11,91,8.44,0.31,0.08,0.11,0.05,0,0,0.01
2020-12,88.84,10.42,0.45,0.09,0.05,0.12,0,0.03,0
