"Date","Android","iOS","Unknown","Samsung","Nokia Unknown","Windows","Linux","Series 40","LG","BlackBerry OS","Other"
2020-01,92.84,6.35,0.28,0.08,0.17,0.13,0.09,0.03,0.02,0.01,0.02
2020-02,93.22,5.92,0.2,0.07,0.09,0.29,0.07,0.03,0.03,0.04,0.02
2020-03,92.75,6.84,0.09,0.04,0.02,0.22,0.01,0,0,0.02,0.01
2020-04,92.27,7.29,0.17,0.04,0.07,0.05,0.04,0.04,0,0.01,0.01
2020-05,93.46,6,0.25,0.07,0.05,0.01,0.08,0.06,0,0.01,0.01
2020-06,94.27,5.06,0.29,0.1,0.07,0.01,0.03,0.13,0.02,0.01,0.01
2020-07,93.48,5.65,0.43,0.15,0.12,0.02,0.02,0.06,0.07,0,0.01
2020-08,93.65,5.77,0.33,0.08,0.07,0.01,0.03,0.02,0.03,0,0.01
2020-09,93.7,5.63,0.29,0.16,0.09,0.03,0.02,0.04,0.04,0,0
2020-10,92.49,6.64,0.32,0.25,0.21,0,0.03,0.01,0.02,0.02,0
2020-11,93.71,5.61,0.24,0.25,0.07,0.01,0.04,0.01,0.03,0.01,0.01
2020-12,93.36,5.89,0.28,0.16,0.24,0.03,0.02,0.01,0.01,0,0.01
