"Date","Android","iOS","Tizen","Series 40","Nokia Unknown","Samsung","BlackBerry OS","Windows","Linux","Unknown","KaiOS","Other"
2020-01,84.75,14.05,0.45,0.18,0.13,0.04,0.12,0.17,0.06,0.03,0.01,0.02
2020-02,84.18,14.89,0.38,0.1,0.08,0.03,0.08,0.16,0.04,0.02,0.02,0.02
2020-03,84.25,15.25,0.23,0,0,0.03,0.06,0.1,0.02,0.01,0.02,0.01
2020-04,84.06,15.33,0.27,0.05,0.04,0.05,0.05,0.08,0.03,0.02,0.01,0.01
2020-05,83.9,15.49,0.28,0.06,0.05,0.04,0.05,0.03,0.04,0.03,0.02,0.01
2020-06,84.21,15.3,0.2,0.05,0.04,0.05,0.04,0.02,0.04,0.02,0.02,0.01
2020-07,84.18,15.26,0.23,0.07,0.05,0.06,0.05,0.01,0.04,0.02,0.02,0.01
2020-08,84.33,15.12,0.21,0.08,0.06,0.07,0.04,0.01,0.04,0.02,0.02,0.01
2020-09,84.66,14.83,0.19,0.07,0.06,0.07,0.04,0.01,0.04,0.01,0.01,0.01
2020-10,84.16,15.24,0.26,0.07,0.06,0.08,0.04,0.01,0.04,0.01,0.02,0.01
2020-11,84.33,15.18,0.17,0.08,0.06,0.07,0.04,0.02,0.03,0.01,0.01,0.01
2020-12,84.6,14.91,0.15,0.07,0.06,0.07,0.03,0.01,0.04,0.02,0.01,0.01
