"Date","Android","iOS","Samsung","Windows","Unknown","Series 40","BlackBerry OS","Other"
2020-01,89.62,9.76,0.2,0.29,0.02,0.03,0.02,0.05
2020-02,89.54,9.82,0.25,0.27,0.03,0.02,0.02,0.05
2020-03,89.07,10.38,0.28,0.22,0.02,0,0.01,0.02
2020-04,89.28,10.24,0.26,0.15,0.02,0.01,0.01,0.03
2020-05,87.91,11.66,0.3,0.06,0.02,0.01,0.01,0.03
2020-06,89.13,10.5,0.26,0.05,0.02,0.01,0.01,0.02
2020-07,88.47,11.18,0.25,0.05,0.02,0.01,0.01,0.02
2020-08,88.52,11.18,0.19,0.05,0.02,0.01,0.01,0.02
2020-09,88.38,11.35,0.15,0.05,0.02,0.01,0.01,0.03
2020-10,87.59,12.14,0.16,0.04,0.02,0.02,0.01,0.02
2020-11,88.62,11.07,0.19,0.05,0.02,0.02,0.01,0.03
2020-12,88.73,10.97,0.2,0.04,0.02,0.02,0.01,0.03
