"Date","Android","iOS","Samsung","Unknown","Windows","Other"
2020-01,80.11,19.65,0.15,0.03,0.04,0.02
2020-02,80.38,19.41,0.14,0.02,0.03,0.01
2020-03,78.34,21.39,0.21,0.03,0.02,0.02
2020-04,78.26,21.5,0.2,0.02,0.01,0.01
2020-05,78.51,21.23,0.21,0.02,0.01,0.02
2020-06,81.39,18.33,0.23,0.02,0.01,0.02
2020-07,81.68,18.07,0.21,0.01,0.01,0.02
2020-08,79.9,19.8,0.26,0.02,0.01,0.02
2020-09,80.3,19.39,0.27,0.01,0.01,0.02
2020-10,78.45,21.24,0.27,0.01,0.01,0.02
2020-11,79.01,20.65,0.31,0.01,0.01,0.01
2020-12,79.62,20.02,0.33,0.02,0,0.01
