"Date","Android","iOS","Windows","Nokia Unknown","Series 40","Samsung","Unknown","SymbianOS","BlackBerry OS","Tizen","Other"
2020-01,89.48,9.28,0.57,0.24,0.16,0.08,0.09,0.04,0.02,0.02,0.03
2020-02,89.8,9.24,0.45,0.18,0.11,0.06,0.08,0.02,0.02,0.01,0.02
2020-03,86.06,13.43,0.4,0.01,0.01,0.02,0.03,0.01,0.01,0.01,0.01
2020-04,86.19,13.13,0.33,0.15,0.07,0.03,0.04,0.01,0.01,0.02,0.02
2020-05,87.66,11.82,0.09,0.19,0.08,0.04,0.05,0.02,0.01,0.01,0.02
2020-06,89.54,9.95,0.11,0.18,0.06,0.06,0.04,0.01,0.01,0.01,0.02
2020-07,90.61,8.83,0.1,0.22,0.07,0.06,0.04,0.01,0.02,0.01,0.03
2020-08,90.26,9.23,0.09,0.19,0.07,0.06,0.04,0.01,0.02,0.01,0.03
2020-09,90.53,9.03,0.06,0.16,0.06,0.06,0.04,0.02,0.02,0.01,0.02
2020-10,90.56,8.97,0.08,0.13,0.09,0.09,0.03,0.01,0.01,0.01,0.02
2020-11,90.9,8.68,0.07,0.14,0.06,0.07,0.03,0.01,0.01,0.01,0.02
2020-12,91.51,8.15,0.05,0.11,0.05,0.07,0.03,0.01,0.01,0,0.02
