"Date","Android","iOS","Unknown","Nokia Unknown","Series 40","SymbianOS","Windows","Linux","Samsung","KaiOS","Other"
2020-01,93.05,3.46,1.52,0.53,0.71,0.15,0.36,0.14,0.03,0.02,0.03
2020-02,93.86,3.86,1.29,0.27,0.39,0.07,0.08,0.11,0.02,0.02,0.03
2020-03,94.11,5.38,0.29,0.01,0.05,0.01,0.08,0.02,0.01,0.02,0.02
2020-04,91.81,6.78,0.83,0.14,0.21,0.05,0.07,0.05,0.03,0.02,0.01
2020-05,89.98,8.21,1.11,0.22,0.29,0.04,0.03,0.05,0.06,0.01,0.01
2020-06,91.51,6.73,0.95,0.4,0.21,0.06,0.03,0.06,0.03,0.02,0.01
2020-07,91.37,6.41,1.45,0.28,0.29,0.06,0.02,0.05,0.04,0.01,0.03
2020-08,91.86,5.42,1.87,0.34,0.27,0.07,0.02,0.06,0.05,0.01,0.02
2020-09,92.38,5.19,1.65,0.32,0.22,0.09,0.01,0.06,0.05,0.01,0.01
2020-10,90.08,6.93,2.06,0.32,0.29,0.11,0.05,0.07,0.05,0.02,0.03
2020-11,91.88,5.66,1.63,0.36,0.27,0.05,0.03,0.05,0.04,0.01,0.01
2020-12,92.11,5.53,1.66,0.28,0.2,0.08,0.02,0.04,0.05,0.01,0.01
