"Date","Android","iOS","Samsung","Windows","BlackBerry OS","SymbianOS","Other"
2020-01,83.95,15.83,0.05,0.09,0.04,0,0.04
2020-02,84.51,15.25,0.07,0.1,0.01,0,0.06
2020-03,84.87,14.92,0.06,0.11,0.01,0,0.03
2020-04,82.7,17.12,0.1,0.05,0.01,0,0.02
2020-05,82.7,17.11,0.11,0.04,0.01,0.01,0.02
2020-06,83.56,16.32,0.07,0.03,0.01,0,0.01
2020-07,83.77,15.95,0.15,0.06,0.01,0.01,0.04
2020-08,82.79,16.71,0.15,0.27,0.03,0,0.05
2020-09,82.15,17.36,0.13,0.23,0.01,0.09,0.02
2020-10,81.15,18.56,0.24,0.03,0,0.01,0.01
2020-11,81.81,17.83,0.28,0.04,0.02,0,0.02
2020-12,83.14,16.6,0.19,0.05,0,0.01,0.01
