"Date","Android","iOS","Linux","Tizen","KaiOS","Series 40","BlackBerry OS","Unknown","Nokia Unknown","Windows","Samsung","SymbianOS","Other"
2020-01,92.77,4.24,1.38,0.36,0.15,0.45,0.07,0.11,0.22,0.17,0.04,0.05,0
2020-02,90.4,6.15,1.67,0.41,0.19,0.32,0.09,0.13,0.4,0.18,0.02,0.04,0
2020-03,91,6.95,0.96,0.26,0.3,0.04,0.16,0.12,0.02,0.18,0.02,0.01,0
2020-04,90.58,5.79,1.39,0.36,0.38,0.19,0.79,0.2,0.14,0.12,0.03,0.03,0
2020-05,91.81,4.82,1.29,0.56,0.27,0.33,0.39,0.16,0.24,0.07,0.04,0.02,0
2020-06,91.25,5.99,1.13,0.42,0.41,0.22,0.12,0.25,0.12,0.02,0.03,0.03,0
2020-07,90.82,6.09,1.48,0.3,0.28,0.2,0.31,0.24,0.09,0.05,0.03,0.08,0
2020-08,90.09,6.03,1.69,0.35,0.23,0.26,0.95,0.19,0.09,0.04,0.05,0.03,0
2020-09,91.75,5.25,1.39,0.51,0.29,0.32,0.12,0.14,0.08,0.08,0.04,0.02,0
2020-10,90.06,6.5,1.68,0.45,0.42,0.24,0.08,0.2,0.11,0.14,0.09,0.03,0
2020-11,92.28,4.37,1.73,0.48,0.35,0.37,0.1,0.15,0.1,0.02,0.04,0.02,0
2020-12,93.36,3.73,0.96,0.41,0.48,0.46,0.06,0.13,0.1,0.21,0.07,0.03,0
