"Date","iOS","Android","Samsung","Windows","Unknown","BlackBerry OS","Other"
2020-01,50.26,49.26,0.37,0.07,0.02,0.01,0.02
2020-02,50.81,48.8,0.3,0.05,0.01,0.01,0.02
2020-03,50.6,48.95,0.37,0.05,0.01,0.02,0.01
2020-04,50.1,49.55,0.28,0.04,0.02,0.01,0.01
2020-05,49.65,49.94,0.32,0.04,0.03,0.01,0.02
2020-06,47,52.62,0.28,0.05,0.03,0.01,0.01
2020-07,46.9,52.67,0.33,0.06,0.02,0.01,0.02
2020-08,47.71,51.86,0.31,0.05,0.04,0.01,0.02
2020-09,49.35,50.29,0.28,0.02,0.03,0.01,0.01
2020-10,52.99,46.67,0.26,0.01,0.04,0.01,0.01
2020-11,54.48,45.14,0.31,0.02,0.03,0.02,0.01
2020-12,54.68,45,0.27,0.01,0.02,0.01,0.01
