"Date","Android","iOS","Series 40","Samsung","SymbianOS","Unknown","Windows","Nokia Unknown","Linux","Other"
2020-01,96.18,2.55,0.35,0.03,0.2,0.07,0.38,0.14,0.06,0.05
2020-02,96.61,2.88,0.18,0.02,0.11,0.05,0.03,0.06,0.02,0.04
2020-03,96.06,3.79,0.01,0.02,0.02,0.04,0.03,0,0.01,0.01
2020-04,94.69,5.02,0.08,0.03,0.04,0.08,0.02,0.03,0.01,0.01
2020-05,95.75,3.95,0.09,0.04,0.03,0.06,0.01,0.03,0.01,0.01
2020-06,96.2,3.49,0.11,0.06,0.03,0.05,0.02,0.02,0.01,0
2020-07,95.76,3.91,0.13,0.04,0.06,0.03,0.01,0.03,0.02,0.01
2020-08,96.13,3.47,0.16,0.08,0.05,0.03,0.01,0.03,0.01,0.01
2020-09,96.65,2.98,0.17,0.07,0.04,0.03,0.01,0.04,0.01,0.01
2020-10,95.95,3.6,0.19,0.09,0.06,0.04,0.01,0.04,0.01,0.01
2020-11,96.01,3.47,0.18,0.14,0.05,0.05,0.01,0.07,0.01,0.01
2020-12,96.13,3.42,0.17,0.11,0.06,0.04,0.01,0.04,0.01,0.01
