"Date","Android","iOS","Series 40","Nokia Unknown","Unknown","SymbianOS","Samsung","Windows","Linux","Other"
2020-01,90.62,7.84,0.61,0.21,0.04,0.21,0.12,0.16,0.16,0.02
2020-02,90.4,8.23,0.39,0.13,0.09,0.23,0.22,0.15,0.11,0.05
2020-03,89.59,10.1,0.04,0.02,0.02,0.01,0.05,0.15,0.02,0.01
2020-04,88.94,10.31,0.27,0.11,0.05,0.08,0.03,0.08,0.11,0.01
2020-05,87.96,10.91,0.45,0.19,0.08,0.18,0.08,0.07,0.07,0.02
2020-06,90.43,8.53,0.52,0.15,0.06,0.12,0.06,0.06,0.06,0.01
2020-07,89.82,9.26,0.4,0.18,0.1,0.06,0.05,0.04,0.06,0.02
2020-08,89.13,10.01,0.34,0.12,0.08,0.08,0.1,0.08,0.05,0
2020-09,89.87,9.19,0.42,0.2,0.06,0.09,0.07,0.03,0.07,0.01
2020-10,89.83,9.25,0.38,0.19,0.04,0.12,0.07,0.04,0.05,0.02
2020-11,89.12,9.94,0.37,0.13,0.06,0.19,0.08,0.03,0.03,0.04
2020-12,88.98,9.29,0.33,0.2,0.96,0.09,0.09,0.02,0.04,0
