"Date","Android","iOS","Unknown","KaiOS","Linux","Windows","Series 40","Nokia Unknown","Samsung","SymbianOS","BlackBerry OS","Tizen","Other"
2020-01,85.08,6.42,6.4,0.25,0.48,0.33,0.46,0.26,0.05,0.15,0.05,0.03,0.05
2020-02,85.46,7.69,5.31,0.31,0.39,0.31,0.27,0.12,0.02,0.04,0.03,0.03,0.01
2020-03,88.72,8.85,1.12,0.37,0.12,0.44,0.25,0.02,0.01,0.02,0.04,0.03,0.01
2020-04,84.19,8.29,6.58,0.31,0.08,0.23,0.09,0.11,0.05,0.01,0.03,0.03,0.01
2020-05,83.96,7.87,7.19,0.33,0.09,0.16,0.1,0.12,0.05,0.03,0.05,0.02,0.02
2020-06,87.37,7.88,3.74,0.28,0.36,0.12,0.07,0.08,0.04,0.02,0.02,0.01,0.01
2020-07,87.36,8.44,3.26,0.27,0.34,0.08,0.06,0.09,0.04,0.02,0.02,0.01,0
2020-08,86.64,8.8,3.69,0.27,0.26,0.07,0.07,0.09,0.05,0.02,0.03,0.01,0
2020-09,86.29,8.01,4.72,0.5,0.15,0.07,0.08,0.09,0.04,0.01,0.02,0.02,0
2020-10,86.59,8.23,4.29,0.49,0.11,0.07,0.07,0.08,0.04,0.01,0.01,0.01,0
2020-11,84.34,9.18,5.55,0.53,0.09,0.06,0.06,0.09,0.06,0.01,0.02,0.01,0
2020-12,86.23,6.36,6.26,0.64,0.17,0.05,0.11,0.09,0.04,0.01,0.02,0.01,0.01
