"Date","Android","iOS","Linux","Samsung","Nokia Unknown","Unknown","Other"
2020-01,96.18,3.65,0.04,0,0.03,0.02,0.07
2020-02,95.84,4.04,0.04,0.01,0.02,0.01,0.04
2020-03,95.34,4.61,0.01,0,0,0.01,0.03
2020-04,95.02,4.93,0.02,0,0.01,0.01,0.02
2020-05,94.63,5.27,0.01,0.02,0.01,0,0.06
2020-06,94.48,5.43,0.02,0.01,0.01,0.03,0.03
2020-07,94.64,5.27,0.05,0.01,0.01,0.01,0.01
2020-08,94.78,5.01,0.04,0.03,0.11,0,0.02
2020-09,94.36,5.5,0.05,0.02,0.03,0.02,0.01
2020-10,94.66,5.2,0.08,0.04,0.01,0.01,0.01
2020-11,94.96,4.88,0.04,0.09,0.01,0.01,0.02
2020-12,94.78,5.04,0.03,0.1,0.01,0.01,0.03
