"Date","Android","iOS","Samsung","Windows","Nokia Unknown","Unknown","Series 40","BlackBerry OS","SymbianOS","Firefox OS","Other"
2020-01,93.18,5.94,0.12,0.31,0.22,0.05,0.09,0.02,0.03,0.03,0.03
2020-02,92.93,6.34,0.1,0.31,0.12,0.03,0.05,0.04,0.02,0.02,0.02
2020-03,92.46,6.74,0.11,0.33,0.02,0.14,0.01,0.08,0.04,0.03,0.04
2020-04,92.72,6.74,0.12,0.18,0.07,0.08,0.05,0,0.01,0.02,0.01
2020-05,92.42,7.17,0.11,0.08,0.08,0.05,0.04,0.01,0.01,0.01,0.01
2020-06,93.24,6.3,0.13,0.09,0.1,0.06,0.04,0.01,0.01,0.01,0.01
2020-07,92.73,6.81,0.19,0.09,0.08,0.04,0.05,0.01,0.01,0.01,0.01
2020-08,93.21,6.36,0.17,0.07,0.07,0.05,0.03,0.02,0.02,0.01,0.01
2020-09,93.33,6.28,0.15,0.05,0.08,0.04,0.03,0.01,0.01,0.01,0.01
2020-10,92.47,7.19,0.13,0.05,0.07,0.03,0.03,0.01,0.02,0.01,0.01
2020-11,94.01,5.67,0.12,0.05,0.06,0.02,0.04,0.01,0.01,0.01,0.02
2020-12,93.84,5.86,0.13,0.04,0.05,0.05,0.03,0,0,0,0.01
