"Date","Android","iOS","Samsung","Windows","BlackBerry OS","Other"
2020-01,93.01,6.74,0,0.09,0.1,0.06
2020-02,95.4,4.46,0.04,0.04,0,0.06
2020-03,95.95,3.66,0.08,0.16,0.11,0.04
2020-04,92.42,7.27,0.03,0.21,0.07,0.01
2020-05,92.04,7.92,0,0.03,0.01,0
2020-06,93.28,6.65,0.02,0.01,0.02,0.01
2020-07,92.99,6.87,0.08,0.01,0.01,0.04
2020-08,92.54,7.23,0.21,0,0.01,0.01
2020-09,92.15,7.47,0.21,0.14,0.02,0.01
2020-10,93.74,5.93,0.21,0.04,0.07,0.02
2020-11,93.4,6.28,0.18,0.08,0.04,0.02
2020-12,93.52,6.25,0.12,0.01,0.08,0.02
