"Date","Android","Unknown","iOS","KaiOS","Nokia Unknown","Series 40","Linux","Windows","BlackBerry OS","Samsung","SymbianOS","Tizen","Playstation","Other"
2020-01,67.02,25.39,4.35,0.54,0.55,0.91,0.32,0.56,0.09,0.1,0.12,0.03,0.01,0.01
2020-02,72.95,18.63,5.64,0.6,0.52,0.47,0.36,0.59,0.1,0.03,0.08,0.02,0,0.01
2020-03,87.83,2.02,7.91,0.4,0.03,0.22,0.39,1,0.09,0.02,0.05,0.03,0.01,0
2020-04,83.12,6.1,8.97,0.45,0.19,0.23,0.23,0.41,0.09,0.05,0.04,0.02,0.1,0
2020-05,82.25,7.91,8.32,0.33,0.25,0.26,0.29,0.21,0.08,0.06,0.03,0.02,0,0.01
2020-06,83.79,7.69,7.17,0.25,0.26,0.22,0.29,0.16,0.06,0.05,0.03,0.02,0,0.01
2020-07,81.34,10.46,6.66,0.26,0.34,0.28,0.29,0.15,0.1,0.05,0.02,0.02,0.01,0.01
2020-08,80.57,11.32,6.5,0.3,0.46,0.24,0.31,0.12,0.09,0.05,0.03,0.01,0.01,0.01
2020-09,80.44,11.37,6.72,0.34,0.36,0.22,0.28,0.09,0.05,0.04,0.02,0.02,0.02,0.01
2020-10,79.61,12.86,6.34,0.31,0.29,0.14,0.26,0.07,0.05,0.03,0.03,0.01,0,0.01
2020-11,76.2,16.23,6.07,0.51,0.31,0.16,0.3,0.09,0.04,0.05,0.03,0.01,0,0.01
2020-12,77.14,15.53,5.56,0.7,0.22,0.29,0.25,0.12,0.05,0.1,0.02,0.01,0,0
