"Date","Android","iOS","Windows","Samsung","Series 40","Unknown","Nokia Unknown","BlackBerry OS","SymbianOS","Linux","Other"
2020-01,80.69,18.49,0.27,0.17,0.1,0.07,0.08,0.04,0.05,0.02,0.02
2020-02,80.58,18.77,0.29,0.11,0.05,0.05,0.05,0.03,0.03,0.02,0.02
2020-03,78.48,20.95,0.29,0.16,0,0.04,0,0.03,0.02,0.01,0.01
2020-04,82.09,17.46,0.15,0.13,0.02,0.04,0.02,0.04,0.02,0.01,0.01
2020-05,82.16,17.46,0.09,0.13,0.04,0.03,0.03,0.03,0.02,0.01,0.01
2020-06,87.65,12.08,0.08,0.09,0.02,0.02,0.02,0.01,0.01,0.01,0.01
2020-07,82.04,17.56,0.12,0.17,0.03,0.02,0.02,0.01,0,0.01,0.01
2020-08,79.72,19.86,0.1,0.18,0.04,0.03,0.03,0.01,0.01,0.02,0.01
2020-09,79.15,20.42,0.1,0.17,0.04,0.03,0.04,0.01,0.01,0.01,0.01
2020-10,77.16,22.41,0.1,0.19,0.04,0.02,0.04,0.01,0.01,0.01,0.01
2020-11,78.75,20.82,0.13,0.19,0.03,0.02,0.03,0.01,0.01,0.01,0.01
2020-12,79.8,19.83,0.07,0.17,0.04,0.02,0.02,0.01,0.01,0,0.02
