"Date","Android","iOS","Samsung","Unknown","BlackBerry OS","Windows","Other"
2020-01,75.97,23.81,0.08,0.04,0.02,0.02,0.06
2020-02,74.59,25.15,0.08,0.07,0.04,0.03,0.04
2020-03,73.65,26.11,0.12,0.05,0.03,0.02,0.03
2020-04,73.19,26.59,0.1,0.07,0.02,0.01,0.02
2020-05,73.07,26.72,0.11,0.08,0.01,0.01,0.01
2020-06,72.55,27.24,0.1,0.07,0.02,0.01,0.01
2020-07,71.42,28.35,0.12,0.06,0.02,0.01,0.01
2020-08,72.19,27.58,0.14,0.05,0.01,0.01,0.01
2020-09,72.66,27.09,0.18,0.03,0.02,0,0.01
2020-10,72.73,26.99,0.18,0.04,0.02,0.03,0.02
2020-11,72.99,26.78,0.14,0.05,0.01,0.01,0.02
2020-12,72.34,27.35,0.22,0.04,0.01,0,0.04
