"Date","iOS","Android","Samsung","Windows","BlackBerry OS","Unknown","Other"
2020-01,50,49.67,0.1,0.17,0.02,0.02,0.03
2020-02,50.76,48.92,0.11,0.15,0.02,0.02,0.02
2020-03,51.38,48.32,0.12,0.13,0.02,0.02,0.02
2020-04,52.29,47.48,0.1,0.08,0.02,0.01,0.02
2020-05,50.12,49.67,0.11,0.05,0.02,0.01,0.02
2020-06,46.53,53.24,0.13,0.05,0.02,0.01,0.02
2020-07,46.45,53.3,0.14,0.06,0.02,0.01,0.03
2020-08,46.21,53.54,0.14,0.05,0.02,0.01,0.03
2020-09,46.65,53.1,0.14,0.05,0.02,0.01,0.03
2020-10,52.94,46.85,0.13,0.04,0.01,0.01,0.02
2020-11,51.64,48.15,0.13,0.04,0.01,0.01,0.02
2020-12,50.85,48.95,0.13,0.03,0.01,0.01,0.02
