"Date","iOS","Android","Samsung","Windows","Unknown","BlackBerry OS","Other"
2020-01,57.42,42.35,0.1,0.05,0.03,0.01,0.04
2020-02,58.4,41.33,0.11,0.08,0.03,0.01,0.03
2020-03,60.1,39.7,0.09,0.03,0.03,0.01,0.03
2020-04,61.25,38.6,0.07,0.02,0.02,0.01,0.03
2020-05,58.46,41.38,0.09,0.01,0.01,0.01,0.03
2020-06,58.17,41.65,0.11,0.02,0.01,0.01,0.03
2020-07,58.78,41.03,0.11,0.02,0.02,0.01,0.04
2020-08,59.33,40.46,0.12,0.02,0.02,0.01,0.04
2020-09,59.72,40.09,0.12,0.02,0.01,0.01,0.04
2020-10,60.21,39.61,0.12,0.01,0.01,0.01,0.03
2020-11,61.23,38.59,0.12,0.01,0.01,0.01,0.03
2020-12,61.07,38.76,0.11,0.01,0.01,0.01,0.03
