"Date","Android","iOS","Series 40","Unknown","Nokia Unknown","Samsung","Windows","Linux","SymbianOS","Other"
2020-01,90.42,8.94,0.2,0.07,0.13,0.08,0.09,0,0.03,0.02
2020-02,90.12,9.05,0.27,0.09,0.16,0.07,0.13,0.03,0.07,0.02
2020-03,90.21,9.48,0.06,0.05,0.02,0.04,0.12,0,0.01,0.01
2020-04,89.81,9.5,0.23,0.12,0.12,0.06,0.07,0.03,0.05,0.02
2020-05,88.71,10.38,0.34,0.17,0.14,0.09,0.04,0.05,0.06,0.02
2020-06,89.57,9.36,0.39,0.21,0.17,0.14,0.04,0.04,0.06,0.01
2020-07,90.39,8.69,0.32,0.16,0.15,0.11,0.04,0.07,0.05,0.01
2020-08,91.04,7.95,0.41,0.16,0.12,0.11,0.06,0.1,0.04,0.01
2020-09,91.14,8.27,0.18,0.12,0.06,0.09,0.03,0.09,0.02,0.01
2020-10,91.4,8.12,0.11,0.08,0.05,0.09,0.04,0.07,0.03,0.01
2020-11,91.49,7.99,0.1,0.17,0.05,0.12,0.04,0,0.02,0.01
2020-12,92.09,7.47,0.08,0.1,0.05,0.13,0.05,0,0.02,0.01
