"Date","Android","iOS","Unknown","Firefox OS","Samsung","Windows","Other"
2020-01,85.58,14.34,0.01,0.03,0,0.04,0.01
2020-02,86.5,13.38,0,0.07,0.03,0.02,0
2020-03,87.56,12.32,0,0.08,0,0.03,0
2020-04,88.24,11.71,0.01,0,0,0.04,0
2020-05,85.74,12.39,1.73,0.13,0,0.01,0
2020-06,78.6,13.99,6.34,1.07,0,0,0
2020-07,81.94,15.9,2.13,0,0.01,0.01,0.01
2020-08,82.4,17.56,0.01,0,0.02,0,0
2020-09,85.21,14.74,0,0,0.04,0,0.01
2020-10,86.13,13.81,0,0,0.02,0.01,0.02
2020-11,88.49,11.46,0,0,0.03,0,0.01
2020-12,87.15,12.78,0,0,0.08,0,0
