"Date","Android","iOS","Windows","BlackBerry OS","Series 40","Samsung","Unknown","Playstation","Nokia Unknown","Firefox OS","LG","SymbianOS","Linux","Other"
2020-01,90.04,7.72,0.76,0.45,0.39,0.03,0.24,0.07,0.05,0.04,0.09,0.05,0.04,0.03
2020-02,90.31,7.79,0.67,0.45,0.25,0.03,0.15,0.09,0.03,0.02,0.12,0.04,0.02,0.03
2020-03,89.99,8.95,0.59,0.26,0.02,0.05,0.02,0.07,0,0.03,0,0,0,0.02
2020-04,89.75,9.31,0.41,0.16,0.09,0.03,0.09,0.05,0.02,0.03,0,0.02,0.02,0.02
2020-05,89.08,10.01,0.13,0.15,0.11,0.29,0.09,0.07,0.02,0.03,0.01,0.01,0.01,0.01
2020-06,89.3,9.59,0.15,0.16,0.09,0.46,0.09,0.07,0.02,0.02,0,0.03,0.01,0.01
2020-07,89.77,9.23,0.13,0.22,0.1,0.29,0.08,0.1,0.02,0.03,0.01,0.02,0.01,0
2020-08,90.23,8.86,0.14,0.15,0.13,0.21,0.11,0.06,0.02,0.02,0.01,0.02,0.02,0.01
2020-09,90.66,8.44,0.11,0.2,0.16,0.16,0.08,0.08,0.03,0.02,0.01,0.02,0.03,0.01
2020-10,90.34,8.58,0.13,0.27,0.26,0.15,0.07,0.06,0.04,0.02,0.01,0.02,0.02,0.01
2020-11,90.89,7.7,0.19,0.31,0.38,0.18,0.09,0.06,0.07,0.04,0.02,0.03,0.02,0.01
2020-12,91.04,7.66,0.21,0.22,0.29,0.17,0.13,0.08,0.1,0.02,0.01,0.03,0.01,0.02
