"Date","Android","iOS","Windows","Samsung","BlackBerry OS","Nokia Unknown","Unknown","MeeGo","SymbianOS","Series 40","Other"
2020-01,61.03,37.48,0.85,0.27,0.09,0.07,0.06,0.01,0.05,0.03,0.04
2020-02,63.84,34.75,0.9,0.26,0.06,0.06,0.03,0.02,0.03,0.03,0.03
2020-03,65.33,33.34,0.92,0.28,0.06,0.01,0.02,0.01,0,0,0.02
2020-04,63.95,35.05,0.55,0.27,0.07,0.04,0.03,0,0.01,0.01,0.02
2020-05,58.02,41,0.5,0.26,0.07,0.03,0.04,0.04,0.01,0.01,0.02
2020-06,60.13,38.58,0.8,0.28,0.05,0.03,0.03,0.07,0.01,0.01,0.01
2020-07,57.52,41.12,0.88,0.27,0.04,0.03,0.02,0.08,0.01,0.01,0.02
2020-08,62.98,36.25,0.24,0.32,0.1,0.03,0.02,0.02,0.02,0.02,0.01
2020-09,68.21,31.26,0.14,0.27,0.03,0.03,0.02,0.01,0.01,0.01,0.02
2020-10,64.55,34.83,0.18,0.31,0.04,0.02,0.02,0.02,0.01,0.01,0.01
2020-11,62.15,36.68,0.68,0.35,0.04,0.02,0.02,0.02,0.01,0.01,0.02
2020-12,64.57,34.53,0.41,0.35,0.05,0.03,0.02,0.02,0.01,0.01,0.01
