"Date","Android","iOS","Unknown","Series 40","Linux","Nokia Unknown","Samsung","LG","Windows","SymbianOS","fixed-auto","Other"
2020-01,96.49,2.64,0.22,0.13,0.16,0.18,0.02,0,0.12,0.03,0,0
2020-02,97.2,2.09,0.38,0.07,0.08,0.09,0.02,0.03,0.03,0.02,0,0
2020-03,97.71,2.15,0.05,0,0.01,0,0.02,0,0.05,0,0,0
2020-04,95.98,2.93,0.84,0.07,0.06,0.05,0.01,0.03,0.03,0.01,0,0
2020-05,94.97,3.64,1.02,0.08,0.09,0.07,0.02,0.04,0.03,0.03,0,0
2020-06,96.01,3.01,0.73,0.05,0.05,0.05,0.04,0.03,0.01,0.02,0,0
2020-07,95.9,2.96,0.89,0.04,0.05,0.05,0.04,0.03,0.01,0.02,0,0
2020-08,96.01,2.88,0.79,0.06,0.05,0.07,0.04,0.05,0.01,0.02,0,0
2020-09,95.87,2.97,0.86,0.06,0.06,0.07,0.04,0.04,0.01,0.02,0,0
2020-10,95.64,3.07,0.95,0.08,0.05,0.05,0.04,0.07,0.01,0.02,0.03,0
2020-11,95.94,2.76,0.85,0.09,0.08,0.05,0.06,0.05,0.01,0.02,0.09,0
2020-12,96.8,2.02,0.32,0.23,0.17,0.16,0.18,0,0,0.04,0.07,0
