"Date","Android","iOS","Unknown","Linux","Windows","BlackBerry OS","Tizen","Series 40","Nokia Unknown","KaiOS","Samsung","SymbianOS","Playstation","LG","Other"
2020-01,85.45,5.24,5.65,0.9,1.18,0.39,0.21,0.38,0.21,0.07,0.11,0.16,0.01,0.03,0
2020-02,87.12,5.85,3.84,1,1.07,0.27,0.17,0.15,0.16,0.12,0.08,0.16,0.01,0.02,0.01
2020-03,89.02,7.17,1.01,0.62,1.38,0.28,0.15,0.03,0.02,0.12,0.02,0.1,0.08,0,0
2020-04,88.2,6.78,2.81,0.54,0.76,0.34,0.14,0.09,0.11,0.11,0.04,0.04,0.04,0.01,0
2020-05,87.79,7.26,3.17,0.58,0.33,0.28,0.15,0.11,0.14,0.07,0.06,0.03,0.01,0.01,0
2020-06,88.92,6.54,2.69,0.84,0.33,0.18,0.15,0.1,0.08,0.07,0.06,0.02,0.02,0.01,0
2020-07,87.39,6.66,3.44,1.35,0.28,0.21,0.21,0.13,0.11,0.1,0.08,0.03,0,0.02,0
2020-08,89.09,5.83,2.69,1.24,0.23,0.16,0.2,0.23,0.12,0.09,0.08,0.03,0,0.01,0
2020-09,88.85,6.16,3.12,0.91,0.19,0.13,0.14,0.12,0.08,0.1,0.15,0.02,0,0.01,0
2020-10,88.91,6.35,2.71,1.15,0.19,0.13,0.11,0.12,0.09,0.07,0.12,0.02,0.01,0.01,0
2020-11,88.93,6.28,3,0.87,0.2,0.13,0.13,0.11,0.09,0.12,0.12,0.01,0,0.01,0.01
2020-12,89.82,6.4,2.45,0.47,0.2,0.12,0.13,0.09,0.1,0.12,0.05,0.02,0.02,0.01,0
