"Date","Android","iOS","Linux","Series 40","Tizen","Windows","Unknown","Nokia Unknown","Samsung","SymbianOS","BlackBerry OS","Other"
2020-01,83.65,9.41,1.39,1.86,0.9,1.78,0.31,0.26,0.05,0.23,0.13,0.02
2020-02,84.53,9.92,1.45,1.01,1.02,1.41,0.24,0.13,0.05,0.15,0.08,0.02
2020-03,86.45,10.23,1.07,0.08,0.81,1.12,0.03,0.02,0.02,0.01,0.16,0.01
2020-04,84.82,12.52,0.86,0.27,0.59,0.6,0.13,0.06,0.05,0.02,0.07,0.01
2020-05,85.41,11.98,0.85,0.46,0.64,0.24,0.12,0.1,0.08,0.04,0.07,0.01
2020-06,85.48,11.37,1.03,0.5,0.74,0.21,0.34,0.1,0.11,0.04,0.06,0.02
2020-07,85.1,10.67,1.69,0.73,0.9,0.23,0.26,0.1,0.12,0.07,0.09,0.02
2020-08,84.71,11.13,1.33,1.12,0.73,0.21,0.39,0.17,0.07,0.09,0.05,0.01
2020-09,85.23,10.7,1.07,1.1,0.68,0.2,0.54,0.21,0.11,0.08,0.06,0.04
2020-10,85.51,9.92,1.51,1.35,0.67,0.19,0.48,0.13,0.12,0.06,0.04,0.03
2020-11,83.82,10.96,1.85,1.6,0.61,0.14,0.52,0.17,0.17,0.07,0.03,0.05
2020-12,84.77,10.6,1.1,1.68,0.79,0.13,0.57,0.17,0.06,0.07,0.04,0.02
